transaction_id,timestamp,sender_id,receiver_id,sender_country,receiver_country,amount_eur,is_flagged,flag_reason,risk_score
TXN0018,2023-01-01 04:30:00,CUST1663,CUST2053,Lithuania,Netherlands,9911.83,False,Clean,13.21
TXN0019,2023-01-01 04:45:00,CUST1130,CUST2787,Latvia,Lithuania,8723.86,False,Clean,13.08
TXN0020,2023-01-01 05:00:00,CUST1661,CUST2313,Netherlands,Malta,8524.73,False,Clean,29.58
TXN0021,2023-01-01 05:15:00,CUST1308,CUST2281,Luxembourg,Latvia,961.92,False,Clean,26.32
TXN0022,2023-01-01 05:30:00,CUST1769,CUST2726,Latvia,Estonia,7304.89,False,Clean,34.45
TXN0023,2023-01-01 05:45:00,CUST1343,CUST2031,Netherlands,Lithuania,13907.03,False,Clean,26.35
TXN0024,2023-01-01 06:00:00,CUST1491,CUST2337,Netherlands,Germany,6265.08,False,Clean,17.55
TXN0025,2023-01-01 06:15:00,CUST1413,CUST2183,Cyprus,Malta,9561.38,True,Layering,67.2
TXN0026,2023-01-01 06:30:00,CUST1805,CUST2023,Estonia,Netherlands,11807.37,False,Clean,34.98
TXN0027,2023-01-01 06:45:00,CUST1385,CUST2544,Netherlands,Cyprus,11866.92,False,Clean,26.3
TXN0028,2023-01-01 07:00:00,CUST1191,CUST2446,Latvia,Latvia,8029.56,False,Clean,27.85
TXN0029,2023-01-01 07:15:00,CUST1955,CUST2074,Estonia,Lithuania,12940.3,False,Clean,33.15
TXN0030,2023-01-01 07:30:00,CUST1276,CUST2010,Estonia,Cyprus,6174.98,False,Clean,8.41
TXN0031,2023-01-01 07:45:00,CUST1160,CUST2484,Netherlands,Latvia,13386.05,False,Clean,26.14
TXN0032,2023-01-01 08:00:00,CUST1459,CUST2456,Lithuania,Malta,3983.29,False,Clean,30.52
TXN0033,2023-01-01 08:15:00,CUST1313,CUST2566,Lithuania,Malta,4563.14,False,Clean,33.63
TXN0034,2023-01-01 08:30:00,CUST1021,CUST2564,Cyprus,Cyprus,1270.25,False,Clean,11.33
TXN0035,2023-01-01 08:45:00,CUST1252,CUST2660,Cyprus,Malta,12035.94,True,Layering,88.18
TXN0036,2023-01-01 09:00:00,CUST1747,CUST2160,Netherlands,Lithuania,6547.3,False,Clean,25.42
TXN0037,2023-01-01 09:15:00,CUST1856,CUST2882,Malta,Lithuania,3822.19,False,Clean,12.42
TXN0038,2023-01-01 09:30:00,CUST1560,CUST2014,Lithuania,Malta,3860.96,False,Clean,23.01
TXN0039,2023-01-01 09:45:00,CUST1474,CUST2178,Malta,Latvia,13570.3,False,Clean,12.73
TXN0040,2023-01-01 10:00:00,CUST1058,CUST2412,Netherlands,Cyprus,9702.3,True,Structuring,89.71
TXN0041,2023-01-01 10:15:00,CUST1510,CUST2878,Netherlands,Netherlands,8526.2,False,Clean,18.25
TXN0042,2023-01-01 10:30:00,CUST1681,CUST2053,Luxembourg,Germany,9433.61,False,Clean,20.88
TXN0043,2023-01-01 10:45:00,CUST1475,CUST2408,Estonia,Lithuania,7377.72,False,Clean,18.48
TXN0044,2023-01-01 11:00:00,CUST1699,CUST2847,Luxembourg,Luxembourg,9876.9,True,Structuring,81.86
TXN0045,2023-01-01 11:15:00,CUST1975,CUST2022,Malta,Germany,13774.41,False,Clean,13.96
TXN0046,2023-01-01 11:30:00,CUST1782,CUST2030,Luxembourg,Netherlands,2321.38,False,Clean,9.77
TXN0047,2023-01-01 11:45:00,CUST1189,CUST2703,Cyprus,Malta,6567.48,False,Clean,6.42
TXN0048,2023-01-01 12:00:00,CUST1957,CUST2260,Estonia,Luxembourg,5496.15,False,Clean,10.88
TXN0049,2023-01-01 12:15:00,CUST1686,CUST2205,Germany,Lithuania,7723.19,False,Clean,22.46
TXN0050,2023-01-01 12:30:00,CUST1957,CUST2059,Luxembourg,Lithuania,7135.66,False,Clean,28.58
TXN0051,2023-01-01 12:45:00,CUST1562,CUST2471,Malta,Cyprus,8023.9,False,Clean,10.08
TXN0052,2023-01-01 13:00:00,CUST1875,CUST2776,Lithuania,Luxembourg,2528.83,False,Clean,8.26
TXN0053,2023-01-01 13:15:00,CUST1566,CUST2466,Lithuania,Germany,7940.55,False,Clean,27.48
TXN0054,2023-01-01 13:30:00,CUST1243,CUST2012,Lithuania,Malta,4015.07,False,Clean,14.15
TXN0055,2023-01-01 13:45:00,CUST1831,CUST2631,Latvia,Cyprus,3172.8,False,Clean,33.54
TXN0056,2023-01-01 14:00:00,CUST1504,CUST2927,Netherlands,Estonia,1440.1,False,Clean,26.43
TXN0057,2023-01-01 14:15:00,CUST1130,CUST2974,Estonia,Germany,11558.46,False,Clean,14.8
TXN0058,2023-01-01 14:30:00,CUST1484,CUST2290,Lithuania,Germany,6697.91,False,Clean,13.69
TXN0059,2023-01-01 14:45:00,CUST1818,CUST2850,Germany,Estonia,9586.33,False,Clean,20.71
TXN0060,2023-01-01 15:00:00,CUST1646,CUST2760,Lithuania,Netherlands,11050.1,False,Clean,7.37
TXN0061,2023-01-01 15:15:00,CUST1020,CUST2354,Cyprus,Luxembourg,10350.09,False,Clean,8.53
TXN0062,2023-01-01 15:30:00,CUST1840,CUST2639,Netherlands,Luxembourg,7322.26,False,Clean,10.28
TXN0063,2023-01-01 15:45:00,CUST1166,CUST2075,Malta,Netherlands,6124.53,False,Clean,28.24
TXN0064,2023-01-01 16:00:00,CUST1273,CUST2873,Netherlands,Lithuania,5951.42,False,Clean,20.42
TXN0065,2023-01-01 16:15:00,CUST1387,CUST2716,Luxembourg,Latvia,9780.71,False,Clean,5.32
TXN0066,2023-01-01 16:30:00,CUST1600,CUST2561,Malta,Cyprus,7674.52,False,Clean,25.21
TXN0067,2023-01-01 16:45:00,CUST1315,CUST2591,Malta,Latvia,12812.42,False,Clean,17.71
TXN0068,2023-01-01 17:00:00,CUST1013,CUST2441,Luxembourg,Lithuania,13183.18,False,Clean,20.33
TXN0069,2023-01-01 17:15:00,CUST1241,CUST2991,Estonia,Luxembourg,2973.13,False,Clean,11.42
TXN0070,2023-01-01 17:30:00,CUST1776,CUST2241,Luxembourg,Latvia,2475.39,False,Clean,21.55
TXN0071,2023-01-01 17:45:00,CUST1345,CUST2861,Latvia,Germany,9640.81,False,Clean,34.37
TXN0072,2023-01-01 18:00:00,CUST1564,CUST2154,Malta,Germany,4867.77,False,Clean,7.2
TXN0073,2023-01-01 18:15:00,CUST1897,CUST2786,Malta,Estonia,769.28,False,Clean,13.52
TXN0074,2023-01-01 18:30:00,CUST1339,CUST2096,Luxembourg,Estonia,13385.32,False,Clean,12.29
TXN0075,2023-01-01 18:45:00,CUST1091,CUST2726,Estonia,Lithuania,3790.06,False,Clean,12.46
TXN0076,2023-01-01 19:00:00,CUST1366,CUST2294,Lithuania,Lithuania,13974.57,False,Clean,16.36
TXN0077,2023-01-01 19:15:00,CUST1955,CUST2209,Cyprus,Malta,9874.26,True,Structuring,87.22
TXN0078,2023-01-01 19:30:00,CUST1454,CUST2343,Germany,Lithuania,11558.48,False,Clean,32.39
TXN0079,2023-01-01 19:45:00,CUST1427,CUST2088,Estonia,Germany,3421.19,False,Clean,11.07
TXN0080,2023-01-01 20:00:00,CUST1508,CUST2818,Latvia,Latvia,3895.82,False,Clean,21.29
TXN0081,2023-01-01 20:15:00,CUST1775,CUST2776,Estonia,Cyprus,8058.38,False,Clean,24.11
TXN0082,2023-01-01 20:30:00,CUST1942,CUST2937,Netherlands,Malta,9707.91,True,Structuring,97.86
TXN0083,2023-01-01 20:45:00,CUST1034,CUST2390,Lithuania,Malta,4928.76,False,Clean,18.02
TXN0084,2023-01-01 21:00:00,CUST1205,CUST2325,Lithuania,Luxembourg,5161.21,False,Clean,10.76
TXN0085,2023-01-01 21:15:00,CUST1080,CUST2940,Malta,Malta,2814.63,False,Clean,19.65
TXN0086,2023-01-01 21:30:00,CUST1931,CUST2889,Lithuania,Lithuania,3475.15,False,Clean,17.04
TXN0087,2023-01-01 21:45:00,CUST1561,CUST2832,Lithuania,Lithuania,11934.0,False,Clean,28.87
TXN0088,2023-01-01 22:00:00,CUST1871,CUST2157,Luxembourg,Germany,2924.34,False,Clean,27.91
TXN0089,2023-01-01 22:15:00,CUST1387,CUST2668,Lithuania,Cyprus,912.63,False,Clean,9.02
TXN0090,2023-01-01 22:30:00,CUST1001,CUST2651,Lithuania,Germany,9625.65,False,Clean,7.66
TXN0091,2023-01-01 22:45:00,CUST1389,CUST2633,Germany,Cyprus,14651.76,False,Clean,32.24
TXN0092,2023-01-01 23:00:00,CUST1565,CUST2577,Latvia,Germany,5302.6,False,Clean,21.07
TXN0093,2023-01-01 23:15:00,CUST1105,CUST2619,Malta,Latvia,2220.51,False,Clean,30.73
TXN0094,2023-01-01 23:30:00,CUST1771,CUST2659,Luxembourg,Luxembourg,9611.97,True,Structuring,89.49
TXN0095,2023-01-01 23:45:00,CUST1821,CUST2137,Lithuania,Lithuania,13642.14,False,Clean,20.8
TXN0096,2023-01-02 00:00:00,CUST1476,CUST2923,Malta,Netherlands,11868.9,False,Clean,21.18
TXN0097,2023-01-02 00:15:00,CUST1702,CUST2674,Latvia,Netherlands,9526.48,False,Clean,30.82
TXN0098,2023-01-02 00:30:00,CUST1401,CUST2428,Luxembourg,Luxembourg,5068.32,False,Clean,7.93
TXN0099,2023-01-02 00:45:00,CUST1729,CUST2452,Cyprus,Lithuania,8357.26,False,Clean,12.21
TXN0100,2023-01-02 01:00:00,CUST1555,CUST2612,Lithuania,Malta,1823.05,False,Clean,17.2
TXN0101,2023-01-02 01:15:00,CUST1161,CUST2850,Malta,Lithuania,10344.71,False,Clean,30.98
TXN0102,2023-01-02 01:30:00,CUST1201,CUST2911,Estonia,Lithuania,11013.89,False,Clean,33.17
TXN0103,2023-01-02 01:45:00,CUST1957,CUST2819,Luxembourg,Luxembourg,14492.96,False,Clean,34.78
TXN0104,2023-01-02 02:00:00,CUST1995,CUST2141,Luxembourg,Lithuania,4275.76,False,Clean,33.78
TXN0105,2023-01-02 02:15:00,CUST1269,CUST2083,Malta,Malta,767.62,False,Clean,5.18
TXN0106,2023-01-02 02:30:00,CUST1862,CUST2177,Lithuania,Cyprus,8411.32,False,Clean,6.43
TXN0107,2023-01-02 02:45:00,CUST1815,CUST2198,Netherlands,Luxembourg,10748.46,False,Clean,9.43
TXN0108,2023-01-02 03:00:00,CUST1270,CUST2624,Germany,Latvia,11960.91,False,Clean,15.47
TXN0109,2023-01-02 03:15:00,CUST1455,CUST2568,Estonia,Netherlands,3309.21,False,Clean,29.9
TXN0110,2023-01-02 03:30:00,CUST1461,CUST2972,Estonia,Luxembourg,4295.42,False,Clean,31.78
TXN0111,2023-01-02 03:45:00,CUST1726,CUST2691,Netherlands,Estonia,9674.73,True,Structuring,89.64
TXN0112,2023-01-02 04:00:00,CUST1251,CUST2421,Lithuania,Netherlands,5293.71,False,Clean,23.59
TXN0113,2023-01-02 04:15:00,CUST1701,CUST2401,Luxembourg,Netherlands,12977.42,False,Clean,32.52
TXN0114,2023-01-02 04:30:00,CUST1295,CUST2698,Luxembourg,Malta,7369.52,False,Clean,18.91
TXN0115,2023-01-02 04:45:00,CUST1724,CUST2471,Germany,Germany,12093.89,False,Clean,8.11
TXN0116,2023-01-02 05:00:00,CUST1719,CUST2218,Estonia,Lithuania,8918.99,False,Clean,18.73
TXN0117,2023-01-02 05:15:00,CUST1748,CUST2925,Germany,Lithuania,11709.81,False,Clean,16.27
TXN0118,2023-01-02 05:30:00,CUST1337,CUST2929,Estonia,Lithuania,5323.76,False,Clean,22.33
TXN0119,2023-01-02 05:45:00,CUST1878,CUST2828,Lithuania,Germany,12555.54,False,Clean,18.16
TXN0120,2023-01-02 06:00:00,CUST1052,CUST2987,Cyprus,Malta,4481.3,False,Clean,5.52
TXN0121,2023-01-02 06:15:00,CUST1791,CUST2729,Estonia,Luxembourg,8418.43,False,Clean,34.82
TXN0122,2023-01-02 06:30:00,CUST1921,CUST2632,Cyprus,Latvia,3603.1,False,Clean,21.31
TXN0123,2023-01-02 06:45:00,CUST1216,CUST2951,Estonia,Latvia,7395.13,False,Clean,19.21
TXN0124,2023-01-02 07:00:00,CUST1763,CUST2906,Luxembourg,Malta,5113.54,False,Clean,33.64
TXN0125,2023-01-02 07:15:00,CUST1187,CUST2175,Latvia,Estonia,4367.2,False,Clean,9.68
TXN0126,2023-01-02 07:30:00,CUST1379,CUST2023,Lithuania,Latvia,14521.28,False,Clean,10.68
TXN0127,2023-01-02 07:45:00,CUST1492,CUST2725,Netherlands,Malta,2821.07,False,Clean,29.24
TXN0128,2023-01-02 08:00:00,CUST1040,CUST2917,Cyprus,Luxembourg,11916.22,False,Clean,12.82
TXN0129,2023-01-02 08:15:00,CUST1156,CUST2235,Netherlands,Latvia,14770.39,False,Clean,28.98
TXN0130,2023-01-02 08:30:00,CUST1014,CUST2013,Lithuania,Lithuania,788.57,False,Clean,13.15
TXN0131,2023-01-02 08:45:00,CUST1812,CUST2101,Malta,Cyprus,10635.9,False,Clean,6.0
TXN0132,2023-01-02 09:00:00,CUST1064,CUST2929,Netherlands,Malta,4167.22,False,Clean,20.51
TXN0133,2023-01-02 09:15:00,CUST1856,CUST2536,Lithuania,Netherlands,1087.07,False,Clean,10.9
TXN0134,2023-01-02 09:30:00,CUST1838,CUST2876,Luxembourg,Latvia,6341.9,False,Clean,27.74
TXN0135,2023-01-02 09:45:00,CUST1520,CUST2523,Netherlands,Latvia,14060.66,False,Clean,24.24
TXN0136,2023-01-02 10:00:00,CUST1343,CUST2785,Cyprus,Germany,670.59,False,Clean,32.71
TXN0137,2023-01-02 10:15:00,CUST1128,CUST2452,Latvia,Estonia,9024.34,False,Clean,28.49
TXN0138,2023-01-02 10:30:00,CUST1647,CUST2431,Netherlands,Cyprus,7770.25,False,Clean,10.42
TXN0139,2023-01-02 10:45:00,CUST1471,CUST2793,Cyprus,Luxembourg,13164.07,False,Clean,29.0
TXN0140,2023-01-02 11:00:00,CUST1062,CUST2606,Estonia,Germany,1718.02,False,Clean,24.25
TXN0141,2023-01-02 11:15:00,CUST1138,CUST2713,Lithuania,Lithuania,10382.13,False,Clean,25.07
TXN0142,2023-01-02 11:30:00,CUST1498,CUST2533,Germany,Netherlands,10361.59,False,Clean,29.97
TXN0143,2023-01-02 11:45:00,CUST1592,CUST2852,Malta,Estonia,10201.66,False,Clean,22.21
TXN0144,2023-01-02 12:00:00,CUST1391,CUST2979,Luxembourg,Germany,14163.85,False,Clean,18.98
TXN0145,2023-01-02 12:15:00,CUST1674,CUST2723,Germany,Malta,12434.77,False,Clean,24.1
TXN0146,2023-01-02 12:30:00,CUST1418,CUST2652,Luxembourg,Latvia,1108.6,False,Clean,13.94
TXN0147,2023-01-02 12:45:00,CUST1288,CUST2293,Lithuania,Latvia,7330.7,False,Clean,10.48
TXN0148,2023-01-02 13:00:00,CUST1378,CUST2810,Luxembourg,Estonia,6270.32,False,Clean,23.5
TXN0149,2023-01-02 13:15:00,CUST1772,CUST2913,Latvia,Latvia,4997.13,False,Clean,12.02
TXN0150,2023-01-02 13:30:00,CUST1489,CUST2101,Netherlands,Malta,7044.38,False,Clean,7.4
TXN0151,2023-01-02 13:45:00,CUST1230,CUST2502,Latvia,Germany,6070.82,False,Clean,5.02
TXN0152,2023-01-02 14:00:00,CUST1040,CUST2304,Germany,Germany,6768.84,False,Clean,23.25
TXN0153,2023-01-02 14:15:00,CUST1027,CUST2871,Malta,Latvia,14699.3,False,Clean,15.86
TXN0154,2023-01-02 14:30:00,CUST1134,CUST2540,Cyprus,Latvia,1785.18,False,Clean,27.57
TXN0155,2023-01-02 14:45:00,CUST1200,CUST2553,Malta,Lithuania,13872.35,False,Clean,16.26
TXN0156,2023-01-02 15:00:00,CUST1839,CUST2355,Lithuania,Netherlands,7463.43,False,Clean,19.58
TXN0157,2023-01-02 15:15:00,CUST1779,CUST2303,Lithuania,Luxembourg,9544.26,False,Clean,17.21
TXN0158,2023-01-02 15:30:00,CUST1929,CUST2496,Latvia,Estonia,12537.65,False,Clean,24.52
TXN0159,2023-01-02 15:45:00,CUST1032,CUST2658,Cyprus,Germany,5726.71,False,Clean,15.68
TXN0160,2023-01-02 16:00:00,CUST1047,CUST2768,Latvia,Estonia,6741.12,False,Clean,33.91
TXN0161,2023-01-02 16:15:00,CUST1502,CUST2974,Netherlands,Lithuania,6438.02,False,Clean,33.08
TXN0162,2023-01-02 16:30:00,CUST1406,CUST2227,Estonia,Germany,5933.6,False,Clean,30.44
TXN0163,2023-01-02 16:45:00,CUST1573,CUST2236,Cyprus,Lithuania,13920.18,False,Clean,32.61
TXN0164,2023-01-02 17:00:00,CUST1727,CUST2873,Estonia,Lithuania,12519.48,False,Clean,18.47
TXN0165,2023-01-02 17:15:00,CUST1804,CUST2892,Malta,Cyprus,2080.5,False,Clean,21.09
TXN0166,2023-01-02 17:30:00,CUST1098,CUST2455,Netherlands,Latvia,2067.79,False,Clean,27.26
TXN0167,2023-01-02 17:45:00,CUST1683,CUST2013,Luxembourg,Malta,6704.11,False,Clean,25.88
TXN0168,2023-01-02 18:00:00,CUST1871,CUST2210,Luxembourg,Cyprus,1930.53,False,Clean,31.72
TXN0169,2023-01-02 18:15:00,CUST1725,CUST2741,Estonia,Luxembourg,9476.85,False,Clean,26.49
TXN0170,2023-01-02 18:30:00,CUST1986,CUST2397,Germany,Estonia,2583.53,False,Clean,34.94
TXN0171,2023-01-02 18:45:00,CUST1546,CUST2100,Malta,Malta,8074.41,False,Clean,15.46
TXN0172,2023-01-02 19:00:00,CUST1960,CUST2031,Cyprus,Malta,604.69,True,Layering,68.46
TXN0173,2023-01-02 19:15:00,CUST1738,CUST2898,Netherlands,Latvia,5090.65,False,Clean,25.93
TXN0174,2023-01-02 19:30:00,CUST1612,CUST2528,Estonia,Malta,10319.27,False,Clean,25.74
TXN0175,2023-01-02 19:45:00,CUST1942,CUST2649,Lithuania,Cyprus,9802.93,True,Structuring,87.49
TXN0176,2023-01-02 20:00:00,CUST1461,CUST2329,Latvia,Estonia,14684.91,False,Clean,28.57
TXN0177,2023-01-02 20:15:00,CUST1642,CUST2166,Germany,Cyprus,13174.51,False,Clean,32.01
TXN0178,2023-01-02 20:30:00,CUST1768,CUST2459,Lithuania,Latvia,5706.53,False,Clean,11.56
TXN0179,2023-01-02 20:45:00,CUST1004,CUST2822,Lithuania,Malta,1159.55,False,Clean,23.76
TXN0180,2023-01-02 21:00:00,CUST1217,CUST2952,Netherlands,Malta,12761.58,False,Clean,16.76
TXN0181,2023-01-02 21:15:00,CUST1502,CUST2982,Latvia,Germany,13712.9,False,Clean,34.69
TXN0182,2023-01-02 21:30:00,CUST1766,CUST2993,Latvia,Lithuania,12399.1,False,Clean,19.36
TXN0183,2023-01-02 21:45:00,CUST1397,CUST2100,Cyprus,Lithuania,2355.27,False,Clean,11.85
TXN0184,2023-01-02 22:00:00,CUST1870,CUST2621,Malta,Cyprus,14969.77,False,Clean,16.46
TXN0185,2023-01-02 22:15:00,CUST1794,CUST2855,Germany,Malta,4249.47,False,Clean,24.62
TXN0186,2023-01-02 22:30:00,CUST1392,CUST2173,Malta,Estonia,11000.97,False,Clean,7.28
TXN0187,2023-01-02 22:45:00,CUST1206,CUST2749,Netherlands,Cyprus,13666.51,False,Clean,23.11
TXN0188,2023-01-02 23:00:00,CUST1014,CUST2162,Germany,Cyprus,3917.46,False,Clean,32.94
TXN0189,2023-01-02 23:15:00,CUST1857,CUST2905,Cyprus,Netherlands,13669.75,False,Clean,30.51
TXN0190,2023-01-02 23:30:00,CUST1553,CUST2728,Estonia,Luxembourg,4987.48,False,Clean,7.03
TXN0191,2023-01-02 23:45:00,CUST1891,CUST2776,Lithuania,Malta,14657.99,False,Clean,34.8
TXN0192,2023-01-03 00:00:00,CUST1460,CUST2263,Germany,Lithuania,4578.27,False,Clean,25.96
TXN0193,2023-01-03 00:15:00,CUST1690,CUST2804,Malta,Malta,14324.82,False,Clean,9.87
TXN0194,2023-01-03 00:30:00,CUST1574,CUST2274,Lithuania,Latvia,1276.4,False,Clean,5.37
TXN0195,2023-01-03 00:45:00,CUST1863,CUST2003,Netherlands,Cyprus,10784.44,False,Clean,10.14
TXN0196,2023-01-03 01:00:00,CUST1742,CUST2028,Malta,Netherlands,8215.61,False,Clean,30.15
TXN0197,2023-01-03 01:15:00,CUST1240,CUST2326,Estonia,Netherlands,7429.22,False,Clean,5.65
TXN0198,2023-01-03 01:30:00,CUST1563,CUST2940,Netherlands,Lithuania,3740.67,False,Clean,11.99
TXN0199,2023-01-03 01:45:00,CUST1095,CUST2149,Luxembourg,Lithuania,10731.14,False,Clean,27.72
TXN0200,2023-01-03 02:00:00,CUST1899,CUST2540,Estonia,Lithuania,3266.74,False,Clean,22.58
TXN0201,2023-01-03 02:15:00,CUST1733,CUST2488,Estonia,Latvia,8516.21,False,Clean,28.48
TXN0202,2023-01-03 02:30:00,CUST1484,CUST2822,Lithuania,Netherlands,4172.06,False,Clean,27.38
TXN0203,2023-01-03 02:45:00,CUST1406,CUST2438,Netherlands,Estonia,14356.51,False,Clean,6.52
TXN0204,2023-01-03 03:00:00,CUST1230,CUST2065,Netherlands,Latvia,915.15,False,Clean,31.78
TXN0205,2023-01-03 03:15:00,CUST1748,CUST2356,Germany,Germany,3396.06,False,Clean,11.81
TXN0206,2023-01-03 03:30:00,CUST1654,CUST2533,Malta,Luxembourg,4013.5,False,Clean,21.6
TXN0207,2023-01-03 03:45:00,CUST1170,CUST2252,Luxembourg,Luxembourg,6503.98,False,Clean,24.33
TXN0208,2023-01-03 04:00:00,CUST1540,CUST2235,Netherlands,Cyprus,3874.59,False,Clean,10.06
TXN0209,2023-01-03 04:15:00,CUST1035,CUST2227,Germany,Luxembourg,7624.56,False,Clean,34.29
TXN0210,2023-01-03 04:30:00,CUST1524,CUST2525,Luxembourg,Lithuania,13150.75,False,Clean,19.64
TXN0211,2023-01-03 04:45:00,CUST1159,CUST2313,Latvia,Netherlands,10824.92,False,Clean,6.73
TXN0212,2023-01-03 05:00:00,CUST1838,CUST2049,Latvia,Luxembourg,8909.45,False,Clean,33.12
TXN0213,2023-01-03 05:15:00,CUST1698,CUST2118,Luxembourg,Cyprus,1790.55,False,Clean,22.59
TXN0214,2023-01-03 05:30:00,CUST1242,CUST2054,Latvia,Luxembourg,10562.89,False,Clean,25.98
TXN0215,2023-01-03 05:45:00,CUST1085,CUST2650,Cyprus,Malta,2913.01,False,Clean,20.76
TXN0216,2023-01-03 06:00:00,CUST1795,CUST2565,Netherlands,Latvia,11902.33,False,Clean,30.04
TXN0217,2023-01-03 06:15:00,CUST1577,CUST2044,Cyprus,Germany,4125.82,False,Clean,5.99
TXN0218,2023-01-03 06:30:00,CUST1681,CUST2815,Malta,Malta,6547.21,False,Clean,13.05
TXN0219,2023-01-03 06:45:00,CUST1556,CUST2053,Netherlands,Latvia,5581.82,False,Clean,19.09
TXN0220,2023-01-03 07:00:00,CUST1573,CUST2586,Germany,Latvia,12952.8,False,Clean,7.3
TXN0221,2023-01-03 07:15:00,CUST1952,CUST2558,Cyprus,Estonia,2334.89,False,Clean,26.18
TXN0222,2023-01-03 07:30:00,CUST1645,CUST2525,Cyprus,Luxembourg,8701.85,False,Clean,16.81
TXN0223,2023-01-03 07:45:00,CUST1795,CUST2677,Malta,Cyprus,2559.89,False,Clean,13.18
TXN0224,2023-01-03 08:00:00,CUST1027,CUST2102,Cyprus,Estonia,10719.54,False,Clean,5.1
TXN0225,2023-01-03 08:15:00,CUST1619,CUST2792,Estonia,Latvia,13623.63,False,Clean,26.59
TXN0226,2023-01-03 08:30:00,CUST1555,CUST2770,Germany,Luxembourg,6801.81,False,Clean,30.01
TXN0227,2023-01-03 08:45:00,CUST1339,CUST2982,Latvia,Germany,7577.34,False,Clean,16.85
TXN0228,2023-01-03 09:00:00,CUST1797,CUST2849,Germany,Netherlands,13947.63,False,Clean,21.93
TXN0229,2023-01-03 09:15:00,CUST1957,CUST2868,Estonia,Netherlands,8054.38,False,Clean,11.83
TXN0230,2023-01-03 09:30:00,CUST1330,CUST2398,Malta,Luxembourg,7570.18,False,Clean,23.67
TXN0231,2023-01-03 09:45:00,CUST1639,CUST2138,Malta,Malta,8885.77,False,Clean,5.36
TXN0232,2023-01-03 10:00:00,CUST1505,CUST2675,Netherlands,Cyprus,10493.83,False,Clean,19.66
TXN0233,2023-01-03 10:15:00,CUST1347,CUST2921,Germany,Lithuania,2049.81,False,Clean,24.33
TXN0234,2023-01-03 10:30:00,CUST1472,CUST2387,Luxembourg,Lithuania,12406.1,False,Clean,32.55
TXN0235,2023-01-03 10:45:00,CUST1230,CUST2111,Luxembourg,Netherlands,6814.82,False,Clean,16.44
TXN0236,2023-01-03 11:00:00,CUST1189,CUST2614,Malta,Latvia,1549.05,False,Clean,27.96
TXN0237,2023-01-03 11:15:00,CUST1224,CUST2017,Cyprus,Latvia,11899.65,False,Clean,22.93
TXN0238,2023-01-03 11:30:00,CUST1384,CUST2780,Malta,Estonia,5965.77,False,Clean,32.81
TXN0239,2023-01-03 11:45:00,CUST1376,CUST2182,Malta,Luxembourg,9656.81,True,Structuring,77.63
TXN0240,2023-01-03 12:00:00,CUST1282,CUST2884,Malta,Cyprus,9689.8,False,Clean,14.57
TXN0241,2023-01-03 12:15:00,CUST1957,CUST2536,Malta,Luxembourg,13261.9,False,Clean,31.61
TXN0242,2023-01-03 12:30:00,CUST1632,CUST2541,Luxembourg,Luxembourg,13372.43,False,Clean,6.48
TXN0243,2023-01-03 12:45:00,CUST1627,CUST2171,Luxembourg,Estonia,14386.12,False,Clean,9.09
